PO_ID,Supplier,Category,Unit_Cost,MOQ,Lead_Time_Days,On_Time_Delivery_Pct,Quality_Score,Risk_Score,Annual_Quantity,Price_Variance_Pct,Late_Orders,Annual_Spend
PO-1000,Apex Components,Semiconductors,40.27,500,20,93.9,100.0,31.5,2000,-0.019,3,80540.0
PO-1001,Nova Electronics,Semiconductors,35.35,100,18,86.6,91.8,5.0,2000,0.076,1,70700.0
PO-1002,Orion Materials,Mechanical,16.04,1000,6,98.8,94.2,36.0,1000,-0.114,0,16040.0
PO-1003,Vertex Supply,Mechanical,15.51,500,15,86.4,94.0,26.0,3000,0.148,1,46530.0
PO-1004,BlueRiver Industrial,Packaging,5.83,200,15,82.4,98.8,76.7,5000,0.095,6,29150.0
PO-1005,PrimeSource Asia,Packaging,5.27,1000,6,94.6,93.1,14.8,5000,-0.07,2,26350.0
PO-1006,Delta Precision,Mechanical,19.26,100,18,95.4,97.6,31.9,3000,-0.05,3,57780.0
PO-1007,Everlink Tech,Semiconductors,32.96,100,15,94.9,99.7,33.9,2000,0.08,4,65920.0
PO-1008,Apex Components,Semiconductors,36.18,500,20,81.5,98.6,48.6,5000,0.002,1,180900.0
PO-1009,Nova Electronics,Semiconductors,38.62,100,24,94.2,96.3,13.0,3000,0.071,3,115860.0
PO-1010,Orion Materials,Mechanical,16.48,500,12,87.6,89.9,39.4,2000,0.021,1,32960.0
PO-1011,Vertex Supply,Mechanical,17.26,100,9,89.0,96.4,63.3,1000,0.014,1,17260.0
PO-1012,BlueRiver Industrial,Packaging,6.78,200,19,87.3,94.7,53.6,1500,-0.114,3,10170.0
PO-1013,PrimeSource Asia,Packaging,5.85,200,10,94.4,92.8,40.3,2000,-0.002,2,11700.0
PO-1014,Delta Precision,Mechanical,22.18,500,14,87.5,98.0,45.8,2000,-0.076,1,44360.0
PO-1015,Everlink Tech,Semiconductors,37.35,200,24,97.5,95.2,52.5,1500,0.07,3,56025.0
PO-1016,Apex Components,Semiconductors,30.67,1000,21,91.6,97.7,16.4,2000,-0.106,7,61340.0
PO-1017,Nova Electronics,Semiconductors,40.59,1000,20,89.1,88.2,37.3,1000,-0.001,0,40590.0
PO-1018,Orion Materials,Mechanical,15.13,1000,13,98.1,92.4,20.6,3000,0.088,2,45390.0
PO-1019,Vertex Supply,Mechanical,18.68,100,14,95.5,94.9,6.0,3000,-0.068,3,56040.0
PO-1020,BlueRiver Industrial,Packaging,7.07,100,15,79.3,94.1,39.9,5000,0.041,4,35350.0
PO-1021,PrimeSource Asia,Packaging,6.75,200,12,84.4,93.2,45.7,2000,0.007,1,13500.0
PO-1022,Delta Precision,Mechanical,18.13,1000,8,92.1,97.0,51.2,5000,0.084,2,90650.0
PO-1023,Everlink Tech,Semiconductors,34.66,500,21,86.7,94.6,11.6,2000,0.16,2,69320.0
PO-1024,Apex Components,Semiconductors,36.11,1000,21,84.6,93.8,58.4,3000,0.01,1,108330.0
PO-1025,Nova Electronics,Semiconductors,38.21,100,17,99.0,97.2,5.0,2000,0.015,1,76420.0
PO-1026,Orion Materials,Mechanical,19.09,200,18,82.8,93.8,27.9,1000,-0.052,4,19090.0
PO-1027,Vertex Supply,Mechanical,15.13,200,23,85.6,90.5,31.4,1500,0.15,2,22695.0
PO-1028,BlueRiver Industrial,Packaging,4.56,200,7,99.0,99.6,33.1,2000,-0.037,3,9120.0
PO-1029,PrimeSource Asia,Packaging,6.14,200,10,90.4,93.7,36.7,2000,0.053,4,12280.0
PO-1030,Delta Precision,Mechanical,18.61,1000,10,88.8,93.3,26.2,1500,0.068,5,27915.0
PO-1031,Everlink Tech,Semiconductors,40.52,200,17,79.3,90.7,25.0,5000,0.093,3,202600.0
PO-1032,Apex Components,Semiconductors,40.89,1000,9,75.3,94.7,26.2,3000,-0.024,5,122670.0
PO-1033,Nova Electronics,Semiconductors,34.11,100,20,91.2,92.2,13.4,1000,0.022,1,34110.0
PO-1034,Orion Materials,Mechanical,21.92,1000,16,90.5,95.3,31.1,1500,0.095,2,32880.0
PO-1035,Vertex Supply,Mechanical,14.58,500,14,96.4,95.8,30.2,1000,0.037,3,14580.0
PO-1036,BlueRiver Industrial,Packaging,7.06,200,9,85.2,90.9,11.2,3000,-0.034,6,21180.0
PO-1037,PrimeSource Asia,Packaging,5.6,100,5,90.3,92.0,55.4,5000,-0.023,0,28000.0
PO-1038,Delta Precision,Mechanical,18.15,200,18,92.8,95.2,69.1,1000,0.032,3,18150.0
PO-1039,Everlink Tech,Semiconductors,37.49,200,25,81.3,97.7,32.6,3000,-0.108,1,112470.0
PO-1040,Apex Components,Semiconductors,39.56,200,30,95.7,93.0,21.5,2000,0.039,7,79120.0
PO-1041,Nova Electronics,Semiconductors,37.66,500,19,91.8,91.2,40.1,1000,-0.007,3,37660.0
PO-1042,Orion Materials,Mechanical,18.01,500,14,87.3,97.2,19.0,5000,-0.011,2,90050.0
PO-1043,Vertex Supply,Mechanical,14.69,500,20,92.0,92.4,58.3,1500,0.009,4,22035.0
PO-1044,BlueRiver Industrial,Packaging,6.46,200,20,84.2,97.4,50.9,2000,-0.141,0,12920.0
PO-1045,PrimeSource Asia,Packaging,6.26,100,22,95.2,94.6,38.3,5000,-0.151,4,31300.0
PO-1046,Delta Precision,Mechanical,18.28,500,11,83.1,92.9,7.7,1000,0.073,2,18280.0
PO-1047,Everlink Tech,Semiconductors,33.86,1000,23,85.5,100.0,35.7,1500,0.086,2,50790.0
PO-1048,Apex Components,Semiconductors,32.16,200,14,90.3,93.3,5.0,1500,0.041,1,48240.0
PO-1049,Nova Electronics,Semiconductors,35.15,1000,19,99.0,94.3,16.6,5000,0.003,0,175750.0
PO-1050,Orion Materials,Mechanical,18.38,200,14,94.8,95.2,46.5,1500,-0.062,1,27570.0
PO-1051,Vertex Supply,Mechanical,19.84,200,9,90.2,98.4,20.4,2000,0.006,1,39680.0
PO-1052,BlueRiver Industrial,Packaging,5.44,100,16,97.1,95.8,36.1,1000,-0.07,2,5440.0
PO-1053,PrimeSource Asia,Packaging,5.79,1000,24,99.0,96.9,66.3,2000,0.111,3,11580.0
PO-1054,Delta Precision,Mechanical,17.98,200,5,93.0,94.3,31.9,2000,-0.182,0,35960.0
PO-1055,Everlink Tech,Semiconductors,41.64,500,21,99.0,94.7,43.5,1500,0.067,2,62460.0
PO-1056,Apex Components,Semiconductors,34.52,1000,11,80.2,95.2,38.9,5000,-0.072,3,172600.0
PO-1057,Nova Electronics,Semiconductors,34.59,1000,10,99.0,100.0,44.4,1000,-0.081,1,34590.0
PO-1058,Orion Materials,Mechanical,17.85,100,8,97.7,96.6,26.6,2000,0.12,2,35700.0
PO-1059,Vertex Supply,Mechanical,19.05,200,21,89.3,95.4,26.1,2000,0.047,2,38100.0
PO-1060,BlueRiver Industrial,Packaging,4.41,200,15,88.4,98.3,31.2,2000,0.104,3,8820.0
PO-1061,PrimeSource Asia,Packaging,5.13,200,5,85.5,95.2,38.6,2000,-0.122,2,10260.0
PO-1062,Delta Precision,Mechanical,19.1,100,20,95.8,95.3,27.7,5000,0.032,2,95500.0
PO-1063,Everlink Tech,Semiconductors,44.88,100,23,87.9,97.9,54.3,5000,-0.036,3,224400.0
PO-1064,Apex Components,Semiconductors,39.89,500,30,85.4,90.6,8.3,1500,0.12,2,59835.0
PO-1065,Nova Electronics,Semiconductors,49.15,1000,21,90.7,97.5,42.2,1500,0.018,2,73725.0
PO-1066,Orion Materials,Mechanical,17.29,200,11,87.6,93.5,27.9,2000,0.076,2,34580.0
PO-1067,Vertex Supply,Mechanical,20.31,200,11,95.1,86.9,31.6,2000,0.05,2,40620.0
PO-1068,BlueRiver Industrial,Packaging,5.19,100,13,90.0,90.4,47.1,5000,-0.013,2,25950.0
PO-1069,PrimeSource Asia,Packaging,5.27,100,16,85.2,94.4,35.0,5000,0.013,3,26350.0
PO-1070,Delta Precision,Mechanical,22.87,500,11,96.5,93.6,10.2,1500,0.056,2,34305.0
PO-1071,Everlink Tech,Semiconductors,32.63,200,22,91.7,94.1,32.8,2000,0.042,2,65260.0
PO-1072,Apex Components,Semiconductors,40.21,500,17,89.5,95.1,24.4,5000,-0.058,3,201050.0
PO-1073,Nova Electronics,Semiconductors,45.83,500,23,97.5,96.5,30.9,1500,-0.085,0,68745.0
PO-1074,Orion Materials,Mechanical,14.39,1000,22,82.6,92.1,54.7,3000,-0.14,3,43170.0
PO-1075,Vertex Supply,Mechanical,18.46,200,13,86.7,96.4,34.4,1000,0.088,4,18460.0
PO-1076,BlueRiver Industrial,Packaging,6.44,100,7,83.7,94.2,39.5,2000,0.05,4,12880.0
PO-1077,PrimeSource Asia,Packaging,5.95,500,5,86.6,96.1,28.6,2000,-0.052,3,11900.0
PO-1078,Delta Precision,Mechanical,17.66,1000,18,92.3,86.7,29.8,2000,0.016,1,35320.0
PO-1079,Everlink Tech,Semiconductors,33.79,500,14,84.1,98.7,20.8,5000,0.211,2,168950.0
PO-1080,Apex Components,Semiconductors,39.29,1000,19,92.2,91.3,5.0,1000,-0.028,3,39290.0
PO-1081,Nova Electronics,Semiconductors,42.49,100,18,91.3,100.0,45.4,5000,0.103,3,212450.0
PO-1082,Orion Materials,Mechanical,18.93,1000,15,91.6,90.5,18.8,1500,0.084,3,28395.0
PO-1083,Vertex Supply,Mechanical,20.93,100,5,98.1,99.5,48.5,1500,-0.161,3,31395.0
